-13	112	-122	117	0.001402004		21.073	3.57456E-06
-12	96	-104	100	0.001198294		21.075	4.18263E-06
-11	84	-92	88	0.001054499		21.061	4.74983E-06
-10	76	-82	79	0.000946652		21.052	5.28869E-06
-9	72	-78	75	0.00089872		21.081	5.57843E-06
-8	70	-76	73	0.000874755		21.062	5.7261E-06
-7	68	-74	71	0.000850789		21.075	5.89103E-06
-6	66	-72	69	0.000826823		21.071	6.06063E-06
-5	66	-72	69	0.000826823		21.072	6.06092E-06
-4	66	-72	69	0.000826823		21.075	6.06178E-06
-3	66	-72	69	0.000826823		21.076	6.06207E-06
-2	66	-72	69	0.000826823		21.077	6.06236E-06
-1	66	-72	69	0.000826823		21.077	6.06236E-06
0	66	-70	68	0.00081484		21.116	6.16289E-06
1	66	-72	69	0.000826823		21.098	6.0684E-06
2	66	-70	68	0.00081484		20.962	6.11795E-06
3	66	-70	68	0.00081484		21.022	6.13546E-06
4	66	-72	69	0.000826823		21.024	6.04711E-06
5	66	-72	69	0.000826823		21.047	6.05373E-06
6	66	-72	69	0.000826823		21.057	6.0566E-06
7	66	-72	69	0.000826823		21.058	6.05689E-06
8	68	-74	71	0.000850789		21.044	5.88236E-06
9	70	-78	74	0.000886738		21.048	5.64496E-06
10	74	-82	78	0.000934669		21.048	5.35548E-06
11	80	-86	83	0.000994584		21.048	5.03286E-06
12	90	-98	94	0.001126396		21.038	4.44179E-06
13	102	-112	107	0.001282174		21.037	3.90195E-06
14	130	-140	135	0.001617697		21.056	3.09545E-06
