#Dec 02, 2016  02:37:39 PM
#Residual Gas Analyzer Software 
#Software Version, 3.211.002
#
#Analog Scan Setup:
#
#Data Points in Scan, 641 
#Units, Torr 
#Noise Floor, 2 
#CEM Status, OFF 
#Points Per AMU, 10
#Scan Start Mass, 1, amu 
#Scan Stop Mass, 65, amu
#Focus Voltage, 90, Volts 
#Ion Energy, HIGH 
#Electron Energy, 70, eV 
#CEM Voltage, 1000, Volts
#CEM Gain, 1.00E+006 
#Sensitivity Factor, 9.16E-005 
#Filament Current, 1.00, mAmps


 17.70,   1.18E-005, 
 17.80,   2.65E-005, 
 17.90,   3.72E-005, 
 18.00,   4.47E-005, 
 18.10,   4.48E-005, 
 18.20,   4.73E-005, 
 18.30,   4.05E-005, 
 18.40,   1.90E-005, 
 18.50,   4.73E-007, 
 18.60,   9.37E-008, 
 18.70,   1.29E-007, 
 18.80,   3.60E-007, 
 18.90,   5.22E-007, 
 19.00,   6.41E-007, 
 19.10,   6.44E-007, 
 19.20,   7.10E-007, 
 19.30,   6.10E-007, 
 19.40,   3.85E-007, 
 19.50,   5.94E-008, 
 19.60,   2.24E-008, 
 19.70,   2.00E-008, 
 19.80,   3.90E-008, 
 19.90,   6.70E-008, 
 20.00,   8.92E-008, 
 20.10,   9.46E-008, 
 20.20,   1.04E-007, 
 20.30,   9.51E-008, 
 20.40,   7.55E-008, 
 20.50,   2.92E-008, 
 20.60,   1.39E-008, 
 20.70,   9.22E-009, 
 20.80,   7.83E-009, 
 20.90,   7.60E-009, 
 21.00,   6.86E-009, 
 21.10,   6.17E-009, 
 21.20,   6.35E-009, 
 21.30,   6.47E-009, 
 21.40,   6.22E-009, 
 21.50,   5.04E-009, 
 21.60,   4.74E-009, 
 21.70,   7.62E-009, 
 21.80,   2.35E-008, 
 21.90,   5.11E-008, 
 22.00,   7.48E-008, 
 22.10,   8.08E-008, 
 22.20,   9.01E-008, 
 22.30,   8.16E-008, 
 22.40,   6.40E-008, 
 22.50,   2.45E-008, 
 22.60,   1.10E-008, 
 22.70,   6.15E-009, 
 22.80,   3.88E-009, 
 22.90,   2.57E-009, 
 23.00,   2.04E-009, 
 23.10,   1.71E-009, 
 23.20,   1.55E-009, 
 23.30,   1.47E-009, 
 23.40,   1.43E-009, 
 23.50,   1.38E-009, 
 23.60,   1.52E-009, 
 23.70,   2.27E-009, 
 23.80,   5.92E-009, 
 23.90,   1.23E-008, 
 24.00,   1.97E-008, 
 24.10,   2.46E-008, 
 24.20,   2.81E-008, 
 24.30,   2.87E-008, 
 24.40,   2.62E-008, 
 24.50,   1.60E-008, 
 24.60,   9.72E-009, 
 24.70,   9.17E-009, 
 24.80,   1.87E-008, 
 24.90,   4.68E-008, 
 25.00,   8.14E-008, 
 25.10,   9.75E-008, 
 25.20,   1.06E-007, 
 25.30,   1.04E-007, 
 25.40,   9.58E-008, 
 25.50,   4.83E-008, 
 25.60,   2.96E-008, 
 25.70,   3.87E-008, 
 25.80,   1.33E-007, 
 25.90,   3.59E-007, 
 26.00,   5.33E-007, 
 26.10,   5.80E-007, 
 26.20,   6.24E-007, 
 26.30,   5.84E-007, 
 26.40,   5.26E-007, 
 26.50,   1.63E-007, 
 26.60,   4.42E-008, 
 26.70,   4.65E-008, 
 26.80,   1.42E-007, 
 26.90,   4.24E-007, 
 27.00,   6.64E-007, 
 27.10,   7.62E-007, 
 27.20,   8.25E-007, 
 27.30,   8.21E-007, 
 27.40,   8.10E-007, 
 27.50,   4.62E-007, 
 27.60,   4.83E-007, 
 27.70,   1.05E-006, 
 27.80,   3.78E-006, 
 27.90,   8.72E-006, 
 28.00,   1.28E-005, 
 28.10,   1.38E-005, 
 28.20,   1.50E-005, 
 28.30,   1.35E-005, 
 28.40,   1.19E-005, 
 28.50,   1.88E-006, 
 28.60,   1.17E-007, 
 28.70,   9.74E-008, 
 28.80,   2.92E-007, 
 28.90,   8.51E-007, 
 29.00,   1.39E-006, 
 29.10,   1.62E-006, 
 29.20,   1.74E-006, 
 29.30,   1.65E-006, 
 29.40,   1.50E-006, 
 29.50,   4.78E-007, 
 29.60,   6.12E-008, 
 29.70,   4.29E-008, 
 29.80,   1.01E-007, 
 29.90,   3.88E-007, 
 30.00,   6.90E-007, 
 30.10,   8.30E-007, 
 30.20,   8.92E-007, 
 30.30,   8.53E-007, 
 30.40,   7.87E-007, 
 30.50,   3.18E-007, 
 30.60,   4.25E-008, 
 30.70,   1.78E-008, 
 30.80,   1.51E-008, 
 30.90,   3.27E-008, 
 31.00,   7.91E-008, 
 31.10,   1.26E-007, 
 31.20,   1.40E-007, 
 31.30,   1.49E-007, 
 31.40,   1.37E-007, 
 31.50,   9.49E-008, 
 31.60,   3.38E-008, 
 31.70,   2.51E-008, 
 31.80,   4.38E-008, 
 31.90,   1.72E-007, 
 32.00,   3.50E-007, 
 32.10,   4.37E-007, 
 32.20,   4.74E-007, 
 32.30,   4.55E-007, 
 32.40,   4.20E-007, 
 32.50,   1.77E-007, 
 32.60,   3.31E-008, 
 32.70,   1.39E-008, 
 32.80,   8.62E-009, 
 32.90,   9.27E-009, 
 33.00,   1.47E-008, 
 33.10,   2.18E-008, 
 33.20,   2.69E-008, 
 33.30,   2.99E-008, 
 33.40,   2.93E-008, 
 33.50,   2.23E-008, 
 33.60,   1.18E-008, 
 33.70,   7.52E-009, 
 33.80,   6.89E-009, 
 33.90,   1.30E-008, 
 34.00,   3.03E-008, 
 34.10,   5.23E-008, 
 34.20,   6.41E-008, 
 34.30,   6.89E-008, 
 34.40,   6.41E-008, 
 34.50,   4.53E-008, 
 34.60,   1.77E-008, 
 34.70,   8.37E-009, 
 34.80,   4.63E-009, 
 34.90,   2.67E-009, 
 35.00,   2.86E-009, 
 35.10,   3.25E-009, 
 35.20,   3.94E-009, 
 35.30,   4.72E-009, 
 35.40,   4.46E-009, 
 35.50,   3.66E-009, 
 35.60,   2.11E-009, 
 35.70,   1.70E-009, 
 35.80,   1.67E-009, 
 35.90,   2.84E-009, 
 36.00,   6.73E-009, 
 36.10,   1.11E-008, 
 36.20,   1.50E-008, 
 36.30,   1.82E-008, 
 36.40,   1.87E-008, 
 36.50,   1.62E-008, 
 36.60,   9.39E-009, 
 36.70,   5.75E-009, 
 36.80,   4.56E-009, 
 36.90,   5.77E-009, 
 37.00,   1.23E-008, 
 37.10,   2.37E-008, 
 37.20,   3.49E-008, 
